Rank,Country,Score,"Electoral process
and pluralism","Functio­ning of
govern­ment","Political
partici­pation","Political
culture","Civil
liberties","Regime
type",Region[n 1],"Changes from
last year"
20,France,8.1199999999999992,9.5800000000000001,7.8600000000000003,7.7800000000000002,6.8799999999999999,8.5299999999999994,Full democracy,Western Europe,"Score:  0.32
Rank:  9"
21,Chile,8.0800000000000001,9.5800000000000001,8.5700000000000003,5,8.1300000000000008,9.1199999999999992,Full democracy,Latin America,"Score:  0.11
Rank:  2"
22,Portugal,8.0299999999999994,9.5800000000000001,7.8600000000000003,6.1100000000000003,7.5,9.1199999999999992,Full democracy,Western Europe,"Score:  0.19
Rank:  5"
23,South Korea,8,9.1699999999999999,7.8600000000000003,7.2199999999999998,7.5,8.2400000000000002,Flawed democracy,Asia & Australasia,"Score: 
Rank:  2"
24,Japan,7.9900000000000002,8.75,8.2100000000000009,6.6699999999999999,7.5,8.8200000000000003,Flawed democracy,Asia & Australasia
25,United States,7.96,9.1699999999999999,7.1399999999999997,7.7800000000000002,7.5,8.2400000000000002,Flawed democracy,North America,"Score: 
Rank:"
26,Malta,7.9500000000000002,9.1699999999999999,7.5,6.1100000000000003,8.1300000000000008,8.8200000000000003,Flawed democracy,Western Europe,"Score:  0.26
Rank:  8"
27,Estonia,7.9000000000000004,9.5800000000000001,7.8600000000000003,6.6699999999999999,6.8799999999999999,8.5299999999999994,Flawed democracy,Eastern Europe,"Score:  0.07
Rank:  4"
28,Israel,7.8600000000000003,9.1699999999999999,7.8600000000000003,8.8900000000000006,7.5,5.8799999999999999,Flawed democracy,Middle East & North Africa,"Score:  0.07
Rank:  2"
29,Botswana,7.8099999999999996,9.1699999999999999,7.1399999999999997,6.1100000000000003,7.5,9.1199999999999992,Flawed democracy,Sub-Saharan Africa,"Score: 
Rank:  1"
30,Cape Verde,7.7800000000000002,9.1699999999999999,7.3600000000000003,6.6699999999999999,6.8799999999999999,8.8200000000000003,Flawed democracy,Sub-Saharan Africa,"Score:  0.1
Rank:  4"
31,Taiwan,7.7300000000000004,9.5800000000000001,8.2100000000000009,6.1100000000000003,5.6299999999999999,9.1199999999999992,Flawed democracy,Asia & Australasia,"Score: 
Rank:  1"
32,Czech Republic,7.6900000000000004,9.5800000000000001,6.79,6.6699999999999999,6.8799999999999999,8.5299999999999994,Flawed democracy,Eastern Europe,"Score: 
Rank:  2"
33,Belgium,7.6399999999999997,9.5800000000000001,8.2100000000000009,5,6.8799999999999999,8.5299999999999994,Flawed democracy,Western Europe,"Score:  0.14
Rank:  2"
34,Cyprus,7.5899999999999999,9.1699999999999999,6.4299999999999997,6.6699999999999999,6.8799999999999999,8.8200000000000003,Flawed democracy,Western Europe,"Score: 
Rank:  1"
35,Italy,7.5199999999999996,9.5800000000000001,6.0700000000000003,7.7800000000000002,6.25,7.9400000000000004,Flawed democracy,Western Europe,"Score:  0.19
Rank:  2"
36,Slovenia,7.5,9.5800000000000001,6.79,6.6699999999999999,6.25,8.2400000000000002,Flawed democracy,Eastern Europe,"Score: 
Rank:"
,Lithuania,7.5,9.5800000000000001,6.4299999999999997,6.1100000000000003,6.25,9.1199999999999992,Flawed democracy,Eastern Europe
38,Latvia,7.4900000000000002,9.5800000000000001,6.0700000000000003,6.1100000000000003,6.8799999999999999,8.8200000000000003,Flawed democracy,Eastern Europe,"Score:  0.11
Rank:"
39,Greece,7.4299999999999997,9.5800000000000001,4.8600000000000003,6.6699999999999999,7.5,8.5299999999999994,Flawed democracy,Western Europe,"Score:  0.14
Rank:"
40,South Africa,7.2400000000000002,7.4199999999999999,7.5,8.3300000000000001,5,7.9400000000000004,Flawed democracy,Sub-Saharan Africa,"Score: 
Rank:"
41,Timor-Leste,7.1900000000000004,9.5800000000000001,6.29,5.5599999999999996,6.8799999999999999,7.6500000000000004,Flawed democracy,Asia & Australasia,"Score: 
Rank:  1"
42,Slovakia,7.1699999999999999,9.5800000000000001,7.1399999999999997,5.5599999999999996,5.6299999999999999,7.9400000000000004,Flawed democracy,Eastern Europe,"Score:  0.07
Rank:  2"
43,Malaysia,7.1600000000000001,9.1699999999999999,7.8600000000000003,6.6699999999999999,6.25,5.8799999999999999,Flawed democracy,Asia & Australasia,"Score:  0.28
Rank:  9"
,Trinidad and Tobago,7.1600000000000001,9.5800000000000001,7.1399999999999997,6.1100000000000003,5.6299999999999999,7.3499999999999996,Flawed democracy,Latin America,"Score: 
Rank:"
45,Colombia,7.1299999999999999,9.1699999999999999,6.79,5.5599999999999996,5.6299999999999999,8.5299999999999994,Flawed democracy,Latin America,"Score:  0.17
Rank:  6"
46,Panama,7.0499999999999998,9.5800000000000001,6.0700000000000003,6.6699999999999999,5,7.9400000000000004,Flawed democracy,Latin America,"Score: 
Rank:  1"
47,Bulgaria,7.0300000000000002,9.1699999999999999,6.4299999999999997,7.2199999999999998,4.3799999999999999,7.9400000000000004,Flawed democracy,Eastern Europe
48,Argentina,7.0199999999999996,9.1699999999999999,5.3600000000000003,6.1100000000000003,6.25,8.2400000000000002,Flawed democracy,Latin America
49,Suriname,6.9800000000000004,9.1699999999999999,6.4299999999999997,6.6699999999999999,5,7.6500000000000004,Flawed democracy,Latin America,"Score: 
Rank:"
50,Jamaica,6.96,8.75,7.1399999999999997,4.4400000000000004,6.25,8.2400000000000002,Flawed democracy,Latin America,"Score:  0.06
Rank:  3"
51,India,6.9000000000000004,8.6699999999999999,6.79,6.6699999999999999,5.6299999999999999,6.7599999999999998,Flawed democracy,Asia & Australasia,"Score:  0.33
Rank:  10"
52,Brazil,6.8600000000000003,9.5800000000000001,5.3600000000000003,6.1100000000000003,5,8.2400000000000002,Flawed democracy,Latin America,"Score:  0.11
Rank:  2"
53,Tunisia,6.7199999999999998,9.1699999999999999,5.71,7.2199999999999998,5.6299999999999999,5.8799999999999999,Flawed democracy,Middle East & North Africa,"Score:  0.31
Rank:  10"
54,Philippines,6.6399999999999997,9.1699999999999999,5.3600000000000003,7.2199999999999998,4.3799999999999999,7.0599999999999996,Flawed democracy,Asia & Australasia,"Score:  0.07
Rank:  1"
55,Ghana,6.6299999999999999,8.3300000000000001,5.71,6.6699999999999999,6.25,6.1799999999999997,Flawed democracy,Sub-Saharan Africa,"Score: 
Rank:  2"
,Hungary,6.6299999999999999,8.75,6.0700000000000003,5,6.25,7.0599999999999996,Flawed democracy,Eastern Europe
57,Poland,6.6200000000000001,9.1699999999999999,6.0700000000000003,6.1100000000000003,4.3799999999999999,7.3499999999999996,Flawed democracy,Eastern Europe,"Score:  0.05
Rank:  3"
58,Peru,6.5999999999999996,9.1699999999999999,5,5.5599999999999996,5.6299999999999999,7.6500000000000004,Flawed democracy,Latin America,"Score: 
Rank:  1"
59,Croatia,6.5700000000000003,9.1699999999999999,6.0700000000000003,5.5599999999999996,5,7.0599999999999996,Flawed democracy,Eastern Europe,"Score: 
Rank:  1"
60,Dominican Republic,6.54,9.1699999999999999,5.3600000000000003,6.1100000000000003,5,7.0599999999999996,Flawed democracy,Latin America,"Score: 
Rank:  1"
,Lesotho,6.54,9.1699999999999999,4.5,6.6699999999999999,5.6299999999999999,6.7599999999999998,Flawed democracy,Sub-Saharan Africa,"Score:  0.1
Rank:  4"
62,Mongolia,6.5,9.1699999999999999,5.71,5.5599999999999996,5,7.0599999999999996,Flawed democracy,Asia & Australasia,"Score: 
Rank:"
63,Romania,6.4900000000000002,9.1699999999999999,5.71,5.5599999999999996,4.3799999999999999,7.6500000000000004,Flawed democracy,Eastern Europe,"Score:  0.11
Rank:  3"
64,Indonesia,6.4800000000000004,7.9199999999999999,7.1399999999999997,6.1100000000000003,5.6299999999999999,5.5899999999999999,Flawed democracy,Asia & Australasia,"Score:  0.09
Rank:  1"
65,Namibia,6.4299999999999997,6.5800000000000001,5.3600000000000003,6.6699999999999999,5.6299999999999999,7.9400000000000004,Flawed democracy,Sub-Saharan Africa,"Score:  0.18
Rank:  4"
66,Serbia,6.4100000000000001,8.25,5.3600000000000003,6.1100000000000003,5,7.3499999999999996,Flawed democracy,Eastern Europe,"Score: 
Rank:  3"
67,Ecuador,6.3300000000000001,8.75,5.3600000000000003,6.1100000000000003,4.3799999999999999,7.0599999999999996,Flawed democracy,Latin America,"Score:  0.06
Rank:  1"
68,Thailand,6.3200000000000003,7.4199999999999999,5.3600000000000003,6.1100000000000003,6.25,6.4699999999999998,Flawed democracy,Asia & Australasia,"Score:  1.69
Rank:  38"
69,Sri Lanka,6.2699999999999996,7,6.0700000000000003,5.5599999999999996,6.25,6.4699999999999998,Flawed democracy,Asia & Australasia,"Score:  0.08
Rank:  2"
70,Paraguay,6.2400000000000002,8.75,5.71,5,4.3799999999999999,7.3499999999999996,Flawed democracy,Latin America,"Score: 
Rank:"
71,El Salvador,6.1500000000000004,9.1699999999999999,4.6399999999999997,6.1100000000000003,3.75,7.0599999999999996,Flawed democracy,Latin America,"Score:  0.19
Rank:  6"
,Guyana,6.1500000000000004,6.9199999999999999,5.3600000000000003,6.1100000000000003,5,7.3499999999999996,Flawed democracy,Latin America,"Score:  0.52
Rank:  17"
73,Mexico,6.0899999999999999,7.8300000000000001,6.0700000000000003,7.2199999999999998,3.1299999999999999,6.1799999999999997,Flawed democracy,Latin America,"Score:  0.1
Rank:  2"
74,Papua New Guinea,6.0300000000000002,6.9199999999999999,6.0700000000000003,3.8900000000000001,5.6299999999999999,7.6500000000000004,Flawed democracy,Asia & Australasia,"Score: 
Rank:  1"
75,Hong Kong,6.0199999999999996,3.5800000000000001,4.3600000000000003,6.1100000000000003,7.5,8.5299999999999994,Flawed democracy,Asia & Australasia,"Score:  0.13
Rank:  2"
,Singapore,6.0199999999999996,3.9199999999999999,7.8600000000000003,5,6.25,7.0599999999999996,Flawed democracy,Asia & Australasia,"Score:  0.36
Rank:  9"
77,North Macedonia,5.9699999999999998,7,5.3600000000000003,6.6699999999999999,3.75,7.0599999999999996,Hybrid regime,Eastern Europe,"Score:  0.1
Rank:  1"
78,Ukraine,5.9000000000000004,7.4199999999999999,2.71,6.6699999999999999,6.25,6.4699999999999998,Hybrid regime,Eastern Europe,"Score:  0.21
Rank:  6"
79,Albania,5.8899999999999997,7,5.3600000000000003,4.4400000000000004,5,7.6500000000000004,Hybrid regime,Eastern Europe,"Score:  0.09
Rank:  3"
80,Bangladesh,5.8799999999999999,7.8300000000000001,6.0700000000000003,6.1100000000000003,4.3799999999999999,5,Hybrid regime,Asia & Australasia,"Score:  0.31
Rank:  8"
81,Fiji,5.8499999999999996,6.5800000000000001,5.3600000000000003,6.1100000000000003,5.6299999999999999,5.5899999999999999,Hybrid regime,Asia & Australasia,"Score: 
Rank:  2"
82,Senegal,5.8099999999999996,6.0800000000000001,6.0700000000000003,4.4400000000000004,6.25,6.1799999999999997,Hybrid regime,Sub-Saharan Africa,"Score:  0.34
Rank:  9"
83,Moldova,5.75,6.5800000000000001,4.6399999999999997,6.1100000000000003,4.3799999999999999,7.0599999999999996,Hybrid regime,Eastern Europe,"Score:  0.1
Rank:  4"
84,Montenegro,5.6500000000000004,5.6699999999999999,5.3600000000000003,6.1100000000000003,4.3799999999999999,6.7599999999999998,Hybrid regime,Eastern Europe,"Score:  0.09
Rank:  3"
85,Madagascar,5.6399999999999997,7.9199999999999999,3.5699999999999998,6.1100000000000003,5.6299999999999999,5,Hybrid regime,Sub-Saharan Africa,"Score:  0.42
Rank:  10"
86,Armenia,5.54,7.5,5.3600000000000003,6.1100000000000003,3.1299999999999999,5.5899999999999999,Hybrid regime,Eastern Europe,"Score:  0.75
Rank:  17"
87,Malawi,5.5,6.0800000000000001,4.29,5,6.25,5.8799999999999999,Hybrid regime,Sub-Saharan Africa,"Score:  0.01
Rank:  3"
88,Liberia,5.4500000000000002,7.4199999999999999,3.0699999999999998,5.5599999999999996,5.6299999999999999,5.5899999999999999,Hybrid regime,Sub-Saharan Africa,"Score:  0.1
Rank:  5"
89,Georgia,5.4199999999999999,7.8300000000000001,3.21,6.1100000000000003,4.3799999999999999,5.5899999999999999,Hybrid regime,Eastern Europe,"Score:  0.08
Rank:"
,Honduras,5.4199999999999999,7.8300000000000001,4.29,4.4400000000000004,4.3799999999999999,6.1799999999999997,Hybrid regime,Latin America,"Score:  0.21
Rank:  4"
91,Bhutan,5.2999999999999998,8.75,6.79,2.7799999999999998,4.3799999999999999,3.8199999999999998,Hybrid regime,Asia & Australasia,"Score: 
Rank:  3"
92,Nepal,5.2800000000000002,4.8300000000000001,5.3600000000000003,5,5.6299999999999999,5.5899999999999999,Hybrid regime,Asia & Australasia,"Score:  0.1
Rank:  5"
93,Guatemala,5.2599999999999998,6.9199999999999999,4.6399999999999997,3.8900000000000001,4.3799999999999999,6.4699999999999998,Hybrid regime,Latin America,"Score:  0.34
Rank:  6"
94,Kenya,5.1799999999999997,3.5,5.71,6.6699999999999999,5.6299999999999999,4.4100000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.07
Rank:  4"
95,Tanzania,5.1600000000000001,5.75,5,5,5.6299999999999999,4.4100000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.25
Rank:  4"
96,Morocco,5.0999999999999996,5.25,4.6399999999999997,5.5599999999999996,5.6299999999999999,4.4100000000000001,Hybrid regime,Middle East & North Africa,"Score:  0.11
Rank:  4"
97,Benin,5.0899999999999999,4.6699999999999999,5.71,4.4400000000000004,5.6299999999999999,5,Hybrid regime,Sub-Saharan Africa,"Score:  0.65
Rank:  16"
,Zambia,5.0899999999999999,4.75,2.9300000000000002,4.4400000000000004,6.8799999999999999,6.4699999999999998,Hybrid regime,Sub-Saharan Africa,"Score:  0.52
Rank:  11"
99,Uganda,5.0199999999999996,4.3300000000000001,3.5699999999999998,4.4400000000000004,6.8799999999999999,5.8799999999999999,Hybrid regime,Sub-Saharan Africa,"Score:  0.18
Rank:  3"
100,Mali,4.9199999999999999,6.4199999999999999,3.0699999999999998,3.8900000000000001,5.6299999999999999,5.5899999999999999,Hybrid regime,Sub-Saharan Africa,"Score:  0.49
Rank:  9"
101,Kyrgyzstan,4.8899999999999997,6.0800000000000001,2.9300000000000002,6.6699999999999999,3.75,5,Hybrid regime,Eastern Europe,"Score:  0.22
Rank:  3"
102,Bosnia and Herzegovina,4.8600000000000003,6.1699999999999999,2.9300000000000002,5.5599999999999996,3.75,5.8799999999999999,Hybrid regime,Eastern Europe,"Score:  0.12
Rank:  1"
,Sierra Leone,4.8600000000000003,6.5800000000000001,2.8599999999999999,3.3300000000000001,6.25,5.29,Hybrid regime,Sub-Saharan Africa,"Score:  0.2
Rank:  3"
104,Bolivia,4.8399999999999999,4.75,3.9300000000000002,5,3.75,6.7599999999999998,Hybrid regime,Latin America,"Score:  0.86
Rank:  21"
105,Haiti,4.5700000000000003,4.75,2.0699999999999998,3.8900000000000001,6.25,5.8799999999999999,Hybrid regime,Latin America,"Score:  0.34
Rank:  3"
106,Lebanon,4.3600000000000003,3.9199999999999999,1.5,6.6699999999999999,5,4.71,Hybrid regime,Middle East & North Africa,"Score:  0.27
Rank:"
107,Gambia,4.3300000000000001,4,4.29,3.3300000000000001,5.6299999999999999,4.4100000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.02
Rank:  4"
108,Pakistan,4.25,6.0800000000000001,5.71,2.2200000000000002,2.5,4.71,Hybrid regime,Asia & Australasia,"Score:  0.08
Rank:  4"
109,Nigeria,4.1200000000000001,5.1699999999999999,3.9300000000000002,3.3300000000000001,3.75,4.4100000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.32
Rank:  1"
110,Turkey,4.0899999999999999,3.0800000000000001,5,5,5,2.3500000000000001,Hybrid regime,Western Europe,"Score:  0.28
Rank:"
111,Ivory Coast,4.0499999999999998,4.3300000000000001,2.8599999999999999,3.3300000000000001,5.6299999999999999,4.1200000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.1
Rank:  2"
112,Burkina Faso,4.04,3.9199999999999999,2.71,4.4400000000000004,5,4.1200000000000001,Hybrid regime,Sub-Saharan Africa,"Score:  0.71
Rank:  8"
113,Algeria,4.0099999999999998,3.0800000000000001,2.8599999999999999,5,5,4.1200000000000001,Hybrid regime,Middle East & North Africa,"Score:  0.51
Rank:  13"
114,Jordan,3.9300000000000002,3.5800000000000001,4.29,3.8900000000000001,4.3799999999999999,3.5299999999999998,Authoritarian,Middle East & North Africa,"Score: 
Rank:  1"
,Kuwait,3.9300000000000002,3.5800000000000001,4.29,3.8900000000000001,4.3799999999999999,3.5299999999999998,Authoritarian,Middle East & North Africa,"Score:  0.08
Rank:  2"
116,Mauritania,3.9199999999999999,3.5,3.5699999999999998,5,3.1299999999999999,4.4100000000000001,Authoritarian,Sub-Saharan Africa,"Score:  0.1
Rank:  3"
117,Palestine,3.8900000000000001,3.3300000000000001,0.14000000000000001,7.7800000000000002,4.3799999999999999,3.8199999999999998,Authoritarian,Middle East & North Africa,"Score:  0.5
Rank:  8"
118,Iraq,3.7400000000000002,5.25,0,6.6699999999999999,5,1.76,Authoritarian,Middle East & North Africa,"Score:  0.32
Rank:  4"
119,Angola,3.7200000000000002,2.25,2.8599999999999999,5.5599999999999996,5,2.9399999999999999,Authoritarian,Sub-Saharan Africa,"Score:  0.1
Rank:  4"
120,Mozambique,3.6499999999999999,2.5800000000000001,2.1400000000000001,5,5,3.5299999999999998,Authoritarian,Sub-Saharan Africa,"Score:  0.2
Rank:  4"
121,Gabon,3.6099999999999999,2.5800000000000001,2.21,4.4400000000000004,5,3.8199999999999998,Authoritarian,Sub-Saharan Africa,"Score: 
Rank:  3"
122,Myanmar,3.5499999999999998,3.0800000000000001,3.9300000000000002,2.7799999999999998,5.6299999999999999,2.3500000000000001,Authoritarian,Asia & Australasia,"Score:  0.28
Rank:  4"
,Nicaragua,3.5499999999999998,1.25,2.8599999999999999,3.8900000000000001,5.6299999999999999,4.1200000000000001,Authoritarian,Latin America,"Score:  0.08
Rank:"
124,Cambodia,3.5299999999999998,0.82999999999999996,4.6399999999999997,3.3300000000000001,5.6299999999999999,3.2400000000000002,Authoritarian,Asia & Australasia,"Score:  0.06
Rank:  1"
125,Ethiopia,3.4399999999999999,0.41999999999999998,3.5699999999999998,5.5599999999999996,5,2.6499999999999999,Authoritarian,Sub-Saharan Africa,"Score:  0.09
Rank:  3"
126,Togo,3.2999999999999998,3.1699999999999999,1.79,3.3300000000000001,5,3.2400000000000002,Authoritarian,Sub-Saharan Africa,"Score:  0.2
Rank:  12"
127,Niger,3.29,2.9199999999999999,1.1399999999999999,3.3300000000000001,4.3799999999999999,4.71,Authoritarian,Sub-Saharan Africa,"Score:  0.47
Rank:  7"
128,Qatar,3.1899999999999999,0,4.29,2.2200000000000002,5.6299999999999999,3.8199999999999998,Authoritarian,Middle East & North Africa,"Score: 
Rank:  5"
129,Rwanda,3.1600000000000001,1.4199999999999999,4.29,2.7799999999999998,4.3799999999999999,2.9399999999999999,Authoritarian,Sub-Saharan Africa,"Score:  0.19
Rank:  1"
,Zimbabwe,3.1600000000000001,0,2.5,4.4400000000000004,5.6299999999999999,3.2400000000000002,Authoritarian,Sub-Saharan Africa,"Score: 
Rank:  5"
131,Comoros,3.1499999999999999,2.0800000000000001,2.21,3.8900000000000001,3.75,3.8199999999999998,Authoritarian,Sub-Saharan Africa,"Score:  0.56
Rank:  10"
132,Eswatini,3.1400000000000001,0.92000000000000004,2.8599999999999999,2.7799999999999998,5.6299999999999999,3.5299999999999998,Authoritarian,Sub-Saharan Africa,"Score:  0.11
Rank:  9"
,Guinea,3.1400000000000001,3.5,0.42999999999999999,4.4400000000000004,4.3799999999999999,2.9399999999999999,Authoritarian,Sub-Saharan Africa,"Score: 
Rank:  4"
134,Republic of the Congo,3.1099999999999999,2.1699999999999999,2.5,3.8900000000000001,3.75,3.2400000000000002,Authoritarian,Sub-Saharan Africa,"Score:  0.2
Rank:  3"
,Russia,3.1099999999999999,2.1699999999999999,1.79,5,2.5,4.1200000000000001,Authoritarian,Eastern Europe,"Score:  0.17
Rank:  10"
136,Vietnam,3.0800000000000001,0,3.21,3.8900000000000001,5.6299999999999999,2.6499999999999999,Authoritarian,Asia & Australasia,"Score: 
Rank:  3"
137,Egypt,3.0600000000000001,2.6699999999999999,3.21,3.3300000000000001,3.75,2.3500000000000001,Authoritarian,Middle East & North Africa,"Score:  0.3
Rank:  10"
,Oman,3.0600000000000001,0.080000000000000002,3.9300000000000002,2.7799999999999998,4.3799999999999999,4.1200000000000001,Authoritarian,Middle East & North Africa,"Score:  0.02
Rank:  3"
139,Kazakhstan,2.9399999999999999,0.5,2.1400000000000001,4.4400000000000004,4.3799999999999999,3.2400000000000002,Authoritarian,Eastern Europe,"Score: 
Rank:  5"
140,Venezuela,2.8799999999999999,0,1.79,5,4.3799999999999999,3.2400000000000002,Authoritarian,Latin America,"Score:  0.28
Rank:  6"
141,Afghanistan,2.8500000000000001,3.4199999999999999,0.64000000000000001,3.8900000000000001,2.5,3.8199999999999998,Authoritarian,Asia & Australasia,"Score:  0.12
Rank:  2"
,Cameroon,2.8500000000000001,1.6699999999999999,2.5,3.3300000000000001,4.3799999999999999,2.3500000000000001,Authoritarian,Sub-Saharan Africa,"Score:  0.43
Rank:  9"
143,Cuba,2.8399999999999999,0,3.5699999999999998,3.3300000000000001,4.3799999999999999,2.9399999999999999,Authoritarian,Latin America,"Score:  0.16
Rank:  1"
144,Djibouti,2.77,0.41999999999999998,1.29,3.8900000000000001,5.6299999999999999,2.6499999999999999,Authoritarian,Sub-Saharan Africa,"Score:  0.1
Rank:  2"
145,United Arab Emirates,2.7599999999999998,0,3.9300000000000002,2.2200000000000002,5,2.6499999999999999,Authoritarian,Middle East & North Africa,"Score: 
Rank:  2"
146,Azerbaijan,2.75,0.5,3.21,2.7799999999999998,3.75,3.5299999999999998,Authoritarian,Eastern Europe,"Score:  0.1
Rank:  3"
147,Sudan,2.7000000000000002,0,1.79,5.5599999999999996,5,1.1799999999999999,Authoritarian,Middle East & North Africa,"Score:  0.55
Rank:  8"
148,Guinea-Bissau,2.6299999999999999,4.9199999999999999,0,2.7799999999999998,3.1299999999999999,2.3500000000000001,Authoritarian,Sub-Saharan Africa,"Score:  0.65
Rank:  9"
149,Bahrain,2.5499999999999998,0.82999999999999996,2.71,2.7799999999999998,4.3799999999999999,2.0600000000000001,Authoritarian,Middle East & North Africa,"Score:  0.16
Rank:  1"
150,Belarus,2.48,0.92000000000000004,2,2.7799999999999998,4.3799999999999999,2.3500000000000001,Authoritarian,Eastern Europe,"Score:  0.65
Rank:  13"
151,Iran,2.3799999999999999,0,2.8599999999999999,4.4400000000000004,3.1299999999999999,1.47,Authoritarian,Middle East & North Africa,"Score:  0.07
Rank:  1"
152,Eritrea,2.3700000000000001,0,2.1400000000000001,1.6699999999999999,6.8799999999999999,1.1799999999999999,Authoritarian,Sub-Saharan Africa,"Score: 
Rank:  1"
153,China,2.2599999999999998,0,4.29,3.3300000000000001,2.5,1.1799999999999999,Authoritarian,Asia & Australasia,"Score:  1.06
Rank:  23"
154,Burundi,2.1499999999999999,0,0.070000000000000007,3.3300000000000001,5,2.3500000000000001,Authoritarian,Sub-Saharan Africa,"Score:  0.18
Rank:  1"
155,Laos,2.1400000000000001,0,2.8599999999999999,1.6699999999999999,5,1.1799999999999999,Authoritarian,Asia & Australasia,"Score:  0.23
Rank:  4"
156,Libya,2.02,0,0,2.7799999999999998,4.3799999999999999,2.9399999999999999,Authoritarian,Middle East & North Africa,"Score:  0.17
Rank:  2"
157,Uzbekistan,2.0099999999999998,0.080000000000000002,1.8600000000000001,2.2200000000000002,5,0.88,Authoritarian,Eastern Europe,"Score: 
Rank:  1"
158,Yemen,1.95,0,0,3.8900000000000001,5,0.88,Authoritarian,Middle East & North Africa,"Score: 
Rank:"
159,Saudi Arabia,1.9299999999999999,0,2.8599999999999999,2.2200000000000002,3.1299999999999999,1.47,Authoritarian,Middle East & North Africa
,Tajikistan,1.9299999999999999,0.080000000000000002,0.79000000000000004,1.6699999999999999,6.25,0.88,Authoritarian,Eastern Europe
161,Equatorial Guinea,1.9199999999999999,0,0.42999999999999999,3.3300000000000001,4.3799999999999999,1.47,Authoritarian,Sub-Saharan Africa
162,Turkmenistan,1.72,0,0.79000000000000004,2.2200000000000002,5,0.58999999999999997,Authoritarian,Eastern Europe
163,Chad,1.6100000000000001,0,0,1.6699999999999999,3.75,2.6499999999999999,Authoritarian,Sub-Saharan Africa
164,Syria,1.4299999999999999,0,0,2.7799999999999998,4.3799999999999999,0,Authoritarian,Middle East & North Africa,"Score: 
Rank:  2"
165,Central African Republic,1.3200000000000001,1.25,0,1.1100000000000001,1.8799999999999999,2.3500000000000001,Authoritarian,Sub-Saharan Africa,"Score:  0.2
Rank:  1"
